"","GRTS_ID","lowerleft","upperleft","upperright","lowerright","center"
"1","1003","18.0441960794117,-65.885995259304","18.0440407736667,-65.8387645114543","17.9988728744068,-65.8389328821413","17.9990281412904,-65.8861516037871","18.157764,-66.14554"
"2","1005","18.4509792151563,-67.0207366786606","18.4511002848437,-66.9733971965557","18.4059329216942,-66.9732763778393","18.4058118830377,-67.0206037782545","17.977414,-66.523607"
"3","1007","18.2705403615921,-66.0743769624053","18.2704309340949,-66.0270857085746","18.2252635468199,-66.027206280958","18.2253729465659,-66.0744854776844","18.334401,-65.199007"
"4","101","18,-66.5","17.9999942493414,-66.452780721151","17.954825857343,-66.4527927416575","17.9548316065664,-66.5","18.382714,-67.186162"
"5","1023","18.1350378642327,-66.0747023423276","18.1349285197465,-66.0274472413752","18.0897608248885,-66.027567629503","18.0898701418657,-66.0748106917762","18.11285,-66.334627"
"6","1026","18.4050337793711,-67.2572396397406","18.4052124547244,-67.2099126400722","18.3600453111346,-67.209731505953","18.3598666814537,-67.2570464304035","18.47419,-66.66571"
"7","1028","18.0902441215014,-66.31102670838","18.0901923396593,-66.263783431469","18.045024378979,-66.2638435951633","18.0450761478283,-66.3110748393635","18.154046,-65.247592"
"8","1037","18.4967002146059,-66.7367594244176","18.4967521151058,-66.6894075765836","18.4515845644262,-66.6893592241518","18.4515326772644,-66.7366989839134","18.021823,-67.043089"
"9","1043","17.9541359518558,-67.0192784957016","17.9542566851264,-66.9720715738747","17.909088195295,-66.9719514307649","17.9089674920734,-67.0191463384606","18.067118,-66.995991"
"10","1049","17.9990281412904,-65.8861516037871","17.9988728744068,-65.8389328821413","17.9537047622601,-65.8391011671058","17.9538599903964,-65.8863078686705","18.383405,-66.949555"
"11","1051","18.1342091497894,-65.7911727799257","18.1340307464868,-65.7439181392563","18.0888632774833,-65.7441107583099","18.0890416359058,-65.7913533606519","18.338342,-66.097869"
"12","1053","18.3607655939359,-66.9731556207769","18.3608750771784,-66.9258402342796","18.3157077292679,-66.9257316082352","18.3155982739386,-66.9730349253213","18.429092,-66.476333"
"13","1055","18.3608750771784,-66.0741597657204","18.3607655939359,-66.0268443792231","18.3155982739386,-66.0269650746787","18.3157077292679,-66.0742683917648","18.337858,-67.091368"
"14","1058","18.2701775233073,-67.067496608398","18.2703099879921,-67.0202054837435","18.2251426313892,-67.0200728543029","18.2250102002973,-67.0673519219519","18.203254,-66.476363"
"15","1060","18.1806717278052,-66.5","18.1806659713635,-66.4527325778461","18.135498262801,-66.4527446228735","18.1355040177905,-66.5","18.337374,-65.766705"
"16","1067","18.2697110180288,-65.79063048513","18.2695324792954,-65.7433396926396","18.2243653198639,-65.7435326064963","18.2245438133219,-65.7908113422352","18.022583,-66.523613"
"17","1069","18.0451451729839,-66.5944626048297","18.045162429277,-66.5472313054788","17.9999942493414,-66.547219278849","17.9999769973666,-66.5944385515749","18.111871,-67.137864"
"18","107","18.3598666814537,-65.7429535695965","18.3596765274756,-65.6956387437149","18.3145094851298,-65.6958439234654","18.3146995906307,-65.7431466803648","17.977414,-66.476393"
"19","1075","17.9544636566347,-66.8776575527864","17.9545498948329,-66.8304504657615","17.909381332024,-66.8303663653068","17.9092951152898,-66.8775614380743","18.33719,-65.719396"
"20","1083","18.134807665392,-65.9801922017944","18.1346753011924,-65.9329372297222","18.0895076700384,-65.9330816950628","18.0896400009383,-65.9803246285544","18.203081,-66.760004"
"21","1085","18.3609730359265,-66.878524792336","18.3610594701611,-66.8312093011068","18.3158920752384,-66.8311248140074","18.3158056630409,-66.8784282357453","17.977092,-66.854099"
"22","1087","18.451307833073,-66.1212819465878","18.4512098241564,-66.0739423472505","18.4060424329312,-66.0740510842298","18.4061404167272,-66.1213786017876","18.021823,-65.956911"
"23","109","18.2256320514954,-66.7836766248076","18.2256953883131,-66.7363972436836","18.1805278168178,-66.736336987931","18.1804644960201,-66.7836043179561","18.338342,-66.902131"
"24","1092","18.3161513120835,-66.4053928179431","18.3161225079709,-66.3580892423048","18.2709550348241,-66.3581254326878","18.2709838316122,-66.405416944873","18.383509,-66.097766"
"25","1101","18.3611977650243,-66.7365781954339","18.3612496256259,-66.6892625933116","18.3160821822211,-66.6892143148655","18.316030334842,-66.7365178474116","18.293578,-66.429054"
"26","1117","18.1799751997027,-67.0199402924741","18.1800960845507,-66.9726732081241","18.1349285197465,-66.9725527586248","18.134807665392,-67.0198077982056","18.248387,-66.618214"
"27","1119","18.2707995322488,-66.2162510314614","18.270724660687,-66.1689596299999","18.2255571989215,-66.1690440309481","18.2256320514954,-66.2163233751924","18.337547,-67.185986"
"28","1122","18.1795434687699,-67.1617411155966","18.1796988917856,-67.114474252352","18.1345314271733,-67.1143176687046","18.1343760433623,-67.161572487349","18.067739,-66.429144"
"29","1131","18.4505468240955,-65.8372453069307","18.4503796331702,-65.7899061333292","18.4052124547244,-65.7900873599278","18.4053796027993,-65.8374144520756","17.976655,-67.042951"
"30","1133","18.0899679518492,-66.8779461907581","18.0900542548199,-66.8307030242325","18.0448863287868,-66.8306187951916","18.0448000474703,-66.8778499290908","18.383163,-65.955802"
"31","115","17.999631958217,-66.8777537164461","17.9997182179427,-66.8305346090456","17.9545498948329,-66.8304504657615","17.9544636566347,-66.8776575527864","18.203139,-66.71273"
"32","1151","18.0899679518492,-66.1220538092419","18.0898701418657,-66.0748106917762","18.0447022620283,-66.0749189860325","18.0448000474703,-66.1221500709092","18.518792,-66.997257"
"33","1154","18.4503796331702,-67.2100938666708","18.4505468240955,-67.1627546930693","18.4053796027993,-67.1625855479244","18.4052124547244,-67.2099126400722","18.289546,-65.246634"
"34","1156","18.0450761478283,-66.3110748393635","18.045024378979,-66.2638435951633","17.9998562335893,-66.2639037282184","17.999907989484,-66.3111229458357","18.157568,-66.948982"
"35","1158","18.5411814276248,-67.0683662791622","18.5413140959307,-67.0210026831383","18.4961466102287,-67.0208696469379","18.496013976106,-67.0682211489794","18.293416,-66.239864"
"36","1163","18.3606445862203,-65.9795290543325","18.3605120540554,-65.9322137972092","18.3153447986984,-65.9323586313412","18.3154772970742,-65.9796618191522","18.156325,-65.672931"
"37","1165","18.1353601431063,-66.7362767628879","18.1354119379793,-66.6890214471337","18.0902441215014,-66.68897329162","18.0901923396593,-66.736216568531","18.067578,-66.240195"
"38","1168","18.1773560480647,-65.3655959944345","18.1770739878687,-65.3183304147885","18.1319071853232,-65.3186315282688","18.1321891743818,-65.3658850642955","18.248353,-66.334501"
"39","1171","17.9542566851264,-66.9720715738747","17.9543659200597,-66.9248645908635","17.9091974030407,-66.9247564619316","17.909088195295,-66.9719514307649","18.42908,-66.571001"
"40","1179","18.1798428021058,-65.932792690736","18.1796988917856,-65.885525747648","18.1345314271733,-65.8856823312954","18.1346753011924,-65.9329372297222","18.383163,-67.044198"
"41","1181","18.2704309340949,-66.9729142914254","18.2705403615921,-66.9256230375947","18.2253729465659,-66.9255145223156","18.2252635468199,-66.972793719042","17.930866,-67.231616"
"42","1183","18.2706382704625,-66.1216682715975","18.2705403615921,-66.0743769624053","18.2253729465659,-66.0744854776844","18.2254708306061,-66.12176472973","18.112596,-66.85437"
"43","1188","18.496838615973,-66.4526480904168","18.4968213157961,-66.4052961870085","18.4516537473326,-66.4053203632433","18.4516710430634,-66.4526601785366","18.157039,-65.861974"
"44","1197","18.2710011096873,-66.5472915306392","18.2710068690461,-66.5","18.2258393357099,-66.5","18.2258335778118,-66.5472794733232","18.474017,-66.807748"
"45","1202","18.2250102002973,-67.0673519219519","18.2251426313892,-67.0200728543029","18.1799751997027,-67.0199402924741","18.1798428021058,-67.067207309264","18.428919,-66.239664"
"46","1211","18.4044285900028,-65.6007799777794","18.4042038059089,-65.5534534096769","18.3590369201397,-65.5536949190836","18.359261646778,-65.6010094122985","17.931924,-66.145991"
"47","1213","18.2254708306061,-66.87823527027","18.2255571989215,-66.8309559690519","18.1803896623789,-66.8308716111298","18.1803033159088,-66.8781388613102","18.157672,-66.098279"
"48","1218","18.3146995906307,-67.2568533196352","18.3148781747716,-67.2095504642425","18.2697110180288,-67.20936951487","18.2695324792954,-67.2566603073604","18.157845,-66.192801"
"49","1220","18.0903131639807,-66.4055133296598","18.0902843962778,-66.3582700098211","18.0451164124992,-66.3583061080751","18.0451451729839,-66.4055373951703","18.47321,-67.139167"
"50","1227","18.450846615118,-65.9319239071055","18.450702484755,-65.8845845669127","18.4055352235631,-65.8847416305379","18.4056793169853,-65.9320688891495","18.112804,-66.287378"
"51","1229","18.2258335778118,-66.5472794733232","18.2258393357099,-66.5","18.1806717278052,-66.5","18.1806659713635,-66.5472674221539","18.428976,-66.713002"
"52","123","18.0444721788446,-65.9804569878574","18.0443398811469,-65.9332260868142","17.9991719070424,-65.9333704050326","17.9993041716351,-65.9805892797549","18.066991,-67.043228"
"53","1243","18.2241753108953,-65.6962539691002","18.2239737864529,-65.6489754361929","18.1788066503858,-65.6491923526874","18.1790081238611,-65.6964588351443","17.97738,-66.381967"
"54","1247","18.0901290507614,-66.2165401852207","18.0900542548199,-66.1692969757675","18.0448863287868,-66.1693812048084","18.0449611059611,-66.2166123816023","18.292022,-65.719595"
"55","125","18.3608750771784,-66.9258402342796","18.3609730359265,-66.878524792336","18.3158056630409,-66.8784282357453","18.3157077292679,-66.9257316082352","18.112401,-66.948868"
"56","1252","18.4967521151058,-66.3105924234164","18.4967002146059,-66.2632405755824","18.4515326772644,-66.2633010160866","18.4515845644262,-66.3106407758482","18.338123,-66.99675"
"57","1261","18.4064574234988,-66.6419831938798","18.4064862423244,-66.5946554728623","18.3613187731183,-66.5946313212988","18.3612899616598,-66.6419469665464","18.338123,-66.00325"
"58","1264","18.1329660853069,-65.5076465315281","18.1327186244247,-65.4603925720612","18.0875514854908,-65.4606574193397","18.0877988841254,-65.5078993409998","18.429057,-66.381666"
"59","127","18.4061404167272,-66.1213786017876","18.4060424329312,-66.0740510842298","18.3608750771784,-66.0741597657204","18.3609730359265,-66.121475207664","18.293589,-66.523649"
"60","1271","17.9535380358915,-67.2081054488019","17.9537047622601,-67.1608988328941","17.9085364097939,-67.1607306335866","17.90836972492,-67.2079252355966","18.292691,-67.091218"
"61","1275","18.4503796331702,-65.7899061333292","18.4502009120119,-65.742567052278","18.4050337793711,-65.7427603602594","18.4052124547244,-65.7900873599278","18.157971,-66.287324"
"62","1277","18.0900542548199,-66.8307030242325","18.0901290507614,-66.7834598147793","18.0449611059611,-66.7833876183977","18.0448863287868,-66.8306187951916","18.247374,-65.861648"
"63","1291","18.0893638322143,-65.8858388351604","18.0892084874934,-65.8385960549794","18.0440407736667,-65.8387645114543","18.0441960794117,-65.885995259304","18.112919,-66.523625"
"64","1293","18.4512098241564,-66.9260576527495","18.451307833073,-66.8787180534122","18.4061404167272,-66.8786213982124","18.4060424329312,-66.9259489157702","18.108879,-65.247911"
"65","1295","18.4514692596429,-66.215961287176","18.4513943115742,-66.1686215952863","18.4062268730629,-66.1687061686688","18.4063018019215,-66.216033778708","18.066704,-67.137701"
"66","1301","17.9998562335893,-66.2639037282184","17.9997929764049,-66.2166845412169","17.9546246346379,-66.2167566640926","17.9546878760354,-66.2639638306576","18.157845,-66.807199"
"67","1311","18.0448000474703,-66.1221500709092","18.0447022620283,-66.0749189860325","17.9995341972444,-66.0750272251385","17.999631958217,-66.1222462835539","18.021685,-65.909686"
"68","1316","18.2255571989215,-66.1690440309481","18.2254708306061,-66.12176472973","18.1803033159088,-66.1218611386898","18.1803896623789,-66.1691283888702","18.338515,-66.807512"
"69","132","18.3161685945534,-66.4526964058935","18.3161513120835,-66.4053928179431","18.2709838316122,-66.405416944873","18.2710011096873,-66.4527084693608","18.383405,-66.050445"
"70","1333","17.9548086096738,-66.4055854894335","17.9547798635621,-66.3583782494466","17.9096112435149,-66.358414292592","17.9096399824717,-66.4056095182049","18.338722,-66.381726"
"71","1339","18.3145094851298,-65.6958439234654","18.314307858306,-65.648541271215","18.2691408465724,-65.6487584090636","18.269342422131,-65.6960489985672","18.248306,-66.712785"
"72","1341","18.0444721788446,-67.0195430121426","18.0445929724794,-66.972312043694","17.9994249350435,-66.9721917781688","17.9993041716351,-67.0194107202451","18.112884,-66.381877"
"73","1346","18.315045237518,-67.1622475165118","18.315200778837,-67.1149444825987","18.2700335400661,-67.1147876592379","18.2698780382965,-67.1620786301122","18.428331,-65.955663"
"74","1348","18.045162429277,-66.4527686945212","18.0451451729839,-66.4055373951703","17.9999769973666,-66.4055614484251","17.9999942493414,-66.452780721151","18.158017,-66.665415"
"75","1355","18.2698780382965,-65.8379213698878","18.2697110180288,-65.79063048513","18.2245438133219,-65.7908113422352","18.2247107912346,-65.8380901701709","18.289845,-65.293929"
"76","1357","18.1354809978333,-66.5945107481158","18.135498262801,-66.5472553771265","18.0903304246047,-66.5472433382364","18.0903131639807,-66.5944866703402","18.473936,-66.855094"
"77","1371","18.2237607465757,-65.6016970139203","18.2235361913048,-65.5544187084282","18.1783691659067,-65.5546597255651","18.1785936643873,-65.6019259807806","18.338515,-66.192488"
"78","1373","18.270724660687,-66.8310403700001","18.2707995322488,-66.7837489685386","18.2256320514954,-66.7836766248076","18.2255571989215,-66.8309559690519","17.977,-66.098688"
"79","1375","18.0900542548199,-66.1692969757675","18.0899679518492,-66.1220538092419","18.0448000474703,-66.1221500709092","18.0448863287868,-66.1693812048084","18.201285,-65.625448"
"80","1380","18.3612899616598,-66.3580530334536","18.3612496256259,-66.3107374066883","18.3160821822211,-66.3107856851345","18.3161225079709,-66.3580892423048","18.112677,-66.192879"
"81","1389","18.2709147193285,-66.6891660610434","18.2709550348241,-66.6418745673122","18.2257875146337,-66.6418383953832","18.2257472093626,-66.6891178318266","18.428976,-66.286998"
"82","1392","18.1778856316752,-65.4601275897718","18.1776265960175,-65.4128617214758","18.1324596540997,-65.413138747605","18.1327186244247,-65.4603925720612","18.429092,-66.523667"
"83","1394","18.450702484755,-67.1154154330873","18.450846615118,-67.0680760928944","18.4056793169853,-67.0679311108505","18.4055352235631,-67.1152583694621","18.06484,-65.437172"
"84","1403","18.4053796027993,-65.8374144520756","18.4052124547244,-65.7900873599278","18.3600453111346,-65.790268494047","18.3602124164833,-65.8375835109061","18.156878,-67.185287"
"85","1405","18.2258163041186,-66.5945589404998","18.2258335778118,-66.5472794733232","18.1806659713635,-66.5472674221539","18.1806487020394,-66.5945348381659","18.067578,-66.759805"
"86","141","18.2709550348241,-66.6418745673122","18.2709838316122,-66.594583055127","18.2258163041186,-66.5945589404998","18.2257875146337,-66.6418383953832","18.156705,-65.767452"
"87","1419","18.4048435767745,-65.6954334592354","18.4046418469719,-65.6481066630204","18.3594748492371,-65.6483240225622","18.3596765274756,-65.6956387437149","18.473844,-66.902439"
"88","1421","18.4062268730629,-66.8312938313312","18.4063018019215,-66.7839662212919","18.3611343798653,-66.7838937667526","18.3610594701611,-66.8312093011068","18.474017,-66.192252"
"89","1423","18.4063652032882,-66.26336142574","18.4063018019215,-66.216033778708","18.3611343798653,-66.2161062332474","18.3611977650243,-66.2634218045661","17.977173,-66.193114"
"90","1427","17.9998562335893,-66.7360962717816","17.999907989484,-66.6888770541643","17.9547396190134,-66.6888289721849","17.9546878760354,-66.7360361693423","18.112504,-66.098381"
"91","1435","18.0882591615609,-65.6023835645167","18.0880347761638,-65.5551413914359","18.0428673568066,-65.5553820403575","18.0430916859098,-65.6026121815708","18.203012,-66.192723"
"92","1439","18.2252635468199,-66.027206280958","18.2251426313892,-65.9799271456971","18.1799751997027,-65.9800597075259","18.1800960845507,-66.0273267918759","18.473048,-67.186512"
"93","1444","18.4967924821719,-66.3579442959501","18.4967521151058,-66.3105924234164","18.4515845644262,-66.3106407758482","18.4516249211184,-66.3579805602904","18.20322,-66.381816"
"94","1453","18.4065035336221,-66.5473277395139","18.4065092973883,-66.5","18.3613418222884,-66.5","18.3613360599956,-66.5473156637298","18.292691,-65.908782"
"95","1456","18.0877988841254,-65.5078993409998","18.0875514854908,-65.4606574193397","18.0423841873785,-65.4609221317107","18.0426315239478,-65.5081520216952","18.022468,-66.712514"
"96","146","18.3600453111346,-67.209731505953","18.3602124164833,-67.1624164890939","18.315045237518,-67.1622475165118","18.3148781747716,-67.2095504642425","18.336994,-65.672087"
"97","1465","17.9993041716351,-65.9805892797549","17.9991719070424,-65.9333704050326","17.9540037202707,-65.9335146497741","17.9541359518558,-65.9807215042984","18.112504,-66.901619"
"98","1467","18.1345314271733,-65.8856823312954","18.1343760433623,-65.838427512651","18.0892084874934,-65.8385960549794","18.0893638322143,-65.8858388351604","17.931832,-66.90121"
"99","1469","18.4511002848437,-66.9733971965557","18.4512098241564,-66.9260576527495","18.4060424329312,-66.9259489157702","18.4059329216942,-66.9732763778393","18.202356,-65.909084"
"100","1471","18.3157077292679,-66.0742683917648","18.3155982739386,-66.0269650746787","18.2704309340949,-66.0270857085746","18.2705403615921,-66.0743769624053","18.293071,-66.949326"
"101","1474","18.3605120540554,-67.0677862027908","18.3606445862203,-67.0204709456675","18.3154772970742,-67.0203381808478","18.3153447986984,-67.0676413686588","18.47374,-66.050215"
"102","1476","18.1806487020394,-66.4054651618341","18.1806199198364,-66.358197758106","18.1354522228909,-66.3582338931694","18.1354809978333,-66.4054892518842","18.474225,-66.381635"
"103","148","18.0903304246047,-66.4527566617636","18.0903131639807,-66.4055133296598","18.0451451729839,-66.4055373951703","18.045162429277,-66.4527686945212","18.338745,-66.570964"
"104","1483","18.3605120540554,-65.9322137972092","18.360367997467,-65.8848986140136","18.315200778837,-65.8850555174013","18.3153447986984,-65.9323586313412","18.337374,-67.233295"
"105","1485","18.0450761478283,-66.6889251606365","18.0451164124992,-66.6416938919249","17.999948244079,-66.6416578120544","17.999907989484,-66.6888770541643","18.158017,-66.334585"
"106","1491","17.9993041716351,-67.0194107202451","17.9994249350435,-66.9721917781688","17.9542566851264,-66.9720715738747","17.9541359518558,-67.0192784957016","18.29238,-65.814188"
"107","1499","18.1346753011924,-65.9329372297222","18.1345314271733,-65.8856823312954","18.0893638322143,-65.8858388351604","18.0895076700384,-65.9330816950628","18.112884,-66.618123"
"108","1501","18.3157077292679,-66.9257316082352","18.3158056630409,-66.8784282357453","18.2706382704625,-66.8783317284025","18.2705403615921,-66.9256230375947","18.157327,-67.043505"
"109","1503","18.496267711037,-66.0264819230268","18.4961466102287,-65.9791303530621","18.4509792151563,-65.9792633213394","18.4511002848437,-66.0266028034443","17.932131,-66.287594"
"110","1506","18.2697110180288,-67.20936951487","18.2698780382965,-67.1620786301122","18.2247107912346,-67.1619098298291","18.2245438133219,-67.2091886577648","18.157672,-66.901721"
"111","1508","18.1355040177905,-66.5","18.135498262801,-66.4527446228735","18.0903304246047,-66.4527566617636","18.0903361781464,-66.5","18.248249,-66.76007"
"112","151","17.9991719070424,-67.0666295949674","17.9993041716351,-67.0194107202451","17.9541359518558,-67.0192784957016","17.9540037202707,-67.0664853502259","18.022261,-66.145811"
"113","1515","18.3602124164833,-65.8375835109061","18.3600453111346,-65.790268494047","18.3148781747716,-65.7904495357575","18.315045237518,-65.8377524834882","18.338757,-66.476345"
"114","1517","18.0902843962778,-66.6417299901789","18.0903131639807,-66.5944866703402","18.0451451729839,-66.5944626048297","18.0451164124992,-66.6416938919249","18.29352,-66.665541"
"115","1523","17.9997929764049,-66.7833154587831","17.9998562335893,-66.7360962717816","17.9546878760354,-66.7360361693423","17.9546246346379,-66.7832433359074","18.155427,-65.48389"
"116","1525","17.9994249350435,-66.0278082218312","17.9993041716351,-65.9805892797549","17.9541359518558,-65.9807215042984","17.9542566851264,-66.0279284261253","18.47336,-67.091821"
"117","1531","18.1791980847743,-65.7437254220101","18.1790081238611,-65.6964588351443","18.1338408334887,-65.6966635967795","18.1340307464868,-65.7439181392563","18.022583,-66.476387"
"118","1533","18.3158056630409,-66.8784282357453","18.3158920752384,-66.8311248140074","18.270724660687,-66.8310403700001","18.2706382704625,-66.8783317284025","18.47336,-65.908179"
"119","1535","18.045024378979,-66.2638435951633","18.0449611059611,-66.2166123816023","17.9997929764049,-66.2166845412169","17.9998562335893,-66.2639037282184","18.158086,-66.523631"
"120","1540","18.2709147193285,-66.3108339389566","18.2708628851334,-66.2635424698307","18.2256953883131,-66.2636027563164","18.2257472093626,-66.3108821681734","18.381953,-65.624555"
"121","1549","18.4968213157961,-66.5947038129915","18.496838615973,-66.5473519095832","18.4516710430634,-66.5473398214634","18.4516537473326,-66.5946796367567","18.383751,-66.760269"
"122","155","18.4058118830377,-65.9793962217455","18.4056793169853,-65.9320688891495","18.3605120540554,-65.9322137972092","18.3606445862203,-65.9795290543325","18.248099,-66.145359"
"123","1563","18.2247107912346,-65.8380901701709","18.2245438133219,-65.7908113422352","18.1793765330888,-65.7909921071436","18.1795434687699,-65.8382588844034","18.110732,-65.578645"
"124","1565","18.4513943115742,-66.8313784047137","18.4514692596429,-66.784038712824","18.4063018019215,-66.7839662212919","18.4062268730629,-66.8312938313312","18.20284,-66.098176"
"125","1567","18.4965618133478,-66.1685369787128","18.4964753126171,-66.1211852420269","18.451307833073,-66.1212819465878","18.4513943115742,-66.1686215952863","18.429022,-66.334332"
"126","157","18.2256953883131,-66.7363972436836","18.2257472093626,-66.6891178318266","18.1805796247599,-66.6890696271963","18.1805278168178,-66.736336987931","18.383913,-66.570983"
"127","1570","18.1345314271733,-67.1143176687046","18.1346753011924,-67.0670627702778","18.0895076700384,-67.0669183049372","18.0893638322143,-67.1141611648396","18.110007,-65.436901"
"128","1575","17.9988728744068,-67.1610671178587","17.9990281412904,-67.1138483962129","17.9538599903964,-67.1136921313295","17.9537047622601,-67.1608988328941","18.202045,-67.185462"
"129","1581","18.0448863287868,-66.8306187951916","18.0449611059611,-66.7833876183977","17.9997929764049,-66.7833154587831","17.9997182179427,-66.8305346090456","18.112746,-66.759871"
"130","1587","17.9999769973666,-66.5944385515749","17.9999942493414,-66.547219278849","17.954825857343,-66.5472072583425","17.9548086096738,-66.5944145105665","17.976517,-65.909836"
"131","1589","17.9997182179427,-66.1694653909544","17.999631958217,-66.1222462835539","17.9544636566347,-66.1223424472136","17.9545498948329,-66.1695495342385","18.066543,-65.815062"
"132","1599","18.0447022620283,-66.0749189860325","18.0445929724794,-66.027687956306","17.9994249350435,-66.0278082218312","17.9995341972444,-66.0750272251385","18.473625,-66.99713"
"133","16","18.3571411606284,-65.2224972613625","18.356824242327,-65.1751839262844","18.3116579270634,-65.1755218585158","18.3119747645851,-65.2228231257521","18.383601,-66.145088"
"134","1604","18.1805278168178,-66.263663012069","18.1804644960201,-66.2163956820439","18.1352968382819,-66.2164679520439","18.1353601431063,-66.2637232371121","17.932004,-66.193192"
"135","1616","18.3119747645851,-65.2228231257521","18.3116579270634,-65.1755218585158","18.2664915890344,-65.1758596183956","18.266808346011,-65.2231488239443","18.067118,-66.004009"
"136","1618","18.1346753011924,-67.0670627702778","18.134807665392,-67.0198077982056","18.0896400009383,-67.0196753714456","18.0895076700384,-67.0669183049372","18.383913,-66.429017"
"137","162","18.5413140959307,-67.0210026831383","18.54143522795,-66.9736390191392","18.496267711037,-66.9735180769732","18.4961466102287,-67.0208696469379","18.158075,-66.429108"
"138","1621","17.9999942493414,-66.452780721151","17.9999769973666,-66.4055614484251","17.9548086096738,-66.4055854894335","17.954825857343,-66.4527927416575","18.292829,-65.95608"
"139","1627","18.2695324792954,-65.7433396926396","18.269342422131,-65.6960489985672","18.2241753108953,-65.6962539691002","18.2243653198639,-65.7435326064963","18.11285,-66.665373"
"140","1629","18.134807665392,-67.0198077982056","18.1349285197465,-66.9725527586248","18.0897608248885,-66.972432370497","18.0896400009383,-67.0196753714456","18.109466,-65.342406"
"141","1636","18.496844382699,-66.5","18.496838615973,-66.4526480904168","18.4516710430634,-66.4526601785366","18.4516768083074,-66.5","18.021536,-67.137539"
"142","1645","18.3613360599956,-66.5473156637298","18.3613418222884,-66.5","18.316174355377,-66.5","18.3161685945534,-66.5473035941065","18.24666,-65.672509"
"143","1650","18.3153447986984,-67.0676413686588","18.3154772970742,-67.0203381808478","18.2703099879921,-67.0202054837435","18.2701775233073,-67.067496608398","18.022169,-66.901414"
"144","1652","18.2257875146337,-66.3581616046168","18.2257472093626,-66.3108821681734","18.1805796247599,-66.3109303728037","18.1806199198364,-66.358197758106","17.976897,-66.948525"
"145","1659","18.3148781747716,-65.7904495357575","18.3146995906307,-65.7431466803648","18.2695324792954,-65.7433396926396","18.2697110180288,-65.79063048513","18.066853,-65.909535"
"146","1661","18.0451164124992,-66.6416938919249","18.0451451729839,-66.5944626048297","17.9999769973666,-66.5944385515749","17.999948244079,-66.6416578120544","18.248007,-66.901926"
"147","1666","18.0890416359058,-67.2086466393481","18.0892084874934,-67.1614039450206","18.0440407736667,-67.1612354885457","18.0438739639414,-67.2084661506075","18.428573,-66.05033"
